;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_ABE_title;Grant Abenaki Independence;;;;;;;;;;;;x,,
gtfo_ABE_desc;We've had a good run, but it's time to end our rulership of Abenaki: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADA_title;Grant Adal Independence;;;;;;;;;;;;x,,
gtfo_ADA_desc;We've had a good run, but it's time to end our rulership of Adal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AIN_title;Grant Ainu Independence;;;;;;;;;;;;x,,
gtfo_AIN_desc;We've had a good run, but it's time to end our rulership of Ainu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALD_title;Grant Alger Independence;;;;;;;;;;;;x,,
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Alger: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALS_title;Grant Alsace Independence;;;;;;;;;;;;x,,
gtfo_ALS_desc;We've had a good run, but it's time to end our rulership of Alsace: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARK_title;Grant Arakan Independence;;;;;;;;;;;;x,,
gtfo_ARK_desc;We've had a good run, but it's time to end our rulership of Arakan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARN_title;Grant Aragon Independence;;;;;;;;;;;;x,,
gtfo_ARN_desc;We've had a good run, but it's time to end our rulership of Aragon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARW_title;Grant Arawak Independence;;;;;;;;;;;;x,,
gtfo_ARW_desc;We've had a good run, but it's time to end our rulership of Arawak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;x,,
