KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afghani-culture-num1;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;Buraid;x
dynamic-al_misr_arabic-nubian_RICE-culture-num1;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;Egypto-Nubian;x
dynamic-al_suryah_arabic-culture-num1;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;Samarra;x
dynamic-al_suryah_arabic-culture-num2;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;Subaian;x
dynamic-al_suryah_arabic-culture-num3;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;Mayyafariqini;x
dynamic-armenian-culture-num1;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;Cilician;x
dynamic-armenian-oghuz-culture-num1;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;x
dynamic-avadhi-culture-num1;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;Mathura;x
dynamic-avadhi-persian-culture-num1;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;Kannauji-Persian;x
dynamic-bavarian-culture-num1;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;x
dynamic-bedouin_arabic-culture-num1;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;Bazinian;x
dynamic-bedouin_arabic-mongol-culture-num1;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;Mongke;x
dynamic-greek-culture-num1;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;Pacatianan;x
dynamic-greek-culture-num2;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;x
dynamic-greek-culture-num3;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;Neo-Trojan;x
dynamic-gujarati-mongol-culture-num1;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;Chudasama;x
dynamic-gujarati-mongol-culture-num2;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;Mongolo-Gujarati;x
